#Version 6.4.1.1 ,,,,,,,,,,,,,
#New best, Iteration, Feasible,Objective,Req 1,Req 2,[bienAtendidos1],[bienAtendidos2],[malAtendidos1],[malAtendidos2],[mu1],[mu2],[mu3],
#, , , ,,,,,,,discrete (25 200 1), discrete (75 200 1), discrete (100 200 1), 
*,1,infeas,13000,0.112244898,0.106635071,33,90,261,754,100,100,100,
*,2,,17535,1,1,331,921,0,0,113,138,150,
,3,,19825,1,1,308,922,0,0,120,157,175,
,4,infeas,9000,0.054237288,0.045243619,16,39,279,823,25,75,100,
,5,,26000,1,1,311,941,0,0,200,200,200,
*,6,,13255,1,1,314,898,0,0,69,106,125,
,7,,13435,1,1,304,848,0,0,54,109,138,
,8,,21745,1,1,325,900,0,0,156,169,175,
,9,,13865,1,1,313,933,0,0,48,197,113,
,10,,15130,0.95379538,1,289,921,14,0,31,91,191,
,11,,20290,1,0.926689576,300,809,0,64,154,76,191,
,12,,18180,1,1,330,920,0,0,48,192,187,
,13,,18835,1,0.966894977,339,847,0,29,197,82,132,
,14,,18495,1,1,320,892,0,0,148,195,116,
,15,infeas,14265,0.683229814,1,220,906,102,0,31,138,157,
,16,,17740,1,1,317,914,0,0,91,193,147,
,17,,21745,1,1,317,901,0,0,146,127,200,
,18,,18350,1,1,331,889,0,0,168,134,124,
,19,infeas,13545,0.455737705,0.046296296,139,40,166,824,126,75,100,
,20,,18810,1,1,328,959,0,0,132,138,157,
,21,,13370,1,1,308,910,0,0,67,107,128,
,22,,13350,1,1,332,898,0,0,73,105,124,
*,23,,13120,1,1,298,873,0,0,70,106,122,
*,24,,13105,1,1,308,889,0,0,71,106,121,
,25,,13150,0.964630225,0.971708379,300,893,11,26,72,106,121,
,26,,13360,1,1,308,877,0,0,55,109,136,
,27,,14035,1,1,332,871,0,0,69,106,138,
*,28,,12655,0.990384615,0.991081382,309,889,3,8,54,109,125,
*,29,,12355,0.993670886,1,314,873,2,0,54,109,120,
*,30,,12235,0.993920973,0.998886414,327,897,2,1,54,109,118,
*,31,,12175,0.973509934,0.995661605,294,918,8,4,54,109,117,
,32,infeas,12910,0.697278912,0.595818815,205,513,89,348,98,100,100,
,33,,13630,1,1,321,891,0,0,65,133,123,
,34,,13930,1,1,319,896,0,0,59,115,140,
,35,,13750,0.986885246,1,301,928,4,0,52,106,146,
,36,,13465,0.981012658,1,310,912,6,0,52,121,135,
,37,,13850,0.996710526,1,303,943,1,0,49,113,147,
,38,,14050,0.993548387,1,308,883,2,0,44,106,157,
,39,,13635,1,1,309,865,0,0,46,177,119,
,40,infeas,14545,0.928571429,1,299,890,23,0,40,193,132,
,41,infeas,14135,0.846428571,1,237,915,43,0,31,116,164,
,42,,14015,1,1,313,881,0,0,47,128,145,
,43,infeas,10800,0.175324675,0.733015495,54,615,254,224,25,147,100,
,44,infeas,15815,0.798045603,1,245,910,62,0,31,200,157,
,45,infeas,11155,0.437699681,0.408685969,137,367,176,531,54,109,100,
,46,,12415,1,1,296,878,0,0,54,109,121,
,47,,12405,1,0.996559633,313,869,0,3,68,105,112,
,48,,12360,1,0.991061453,317,887,0,8,67,105,112,
,49,,12695,1,0.998827667,332,852,0,1,68,107,116,
,50,,12600,1,1,313,932,0,0,67,105,116,
