#Version 6.4.1.1 ,,,,,,,,,,,,,,,,
#New best, Iteration, Feasible,Objective,Req 1,Req 2,[bienAtendidos1],[bienAtendidos2],[malAtendidos1],[malAtendidos2],[mu1],[mu2],[mu3],,,,
#, , , ,,,,,,,discrete (35 85 1), discrete (90 130 1), discrete (100 135 1),Media1,STD1,Media2,STD2
*,1,infeas,9825,0.56824825,0.55818707,159.3333333,482.3333333,122.3333333,388.6666667,35,90,100,0.56824825,,0.55818707,
*,2,,12530,1,1,290.6666667,877.6666667,0,0,60,110,118,0.784124125,0.30529459,0.779093535,0.312408919
,3,,13905,1,1,307.6666667,895.6666667,0,0,73,120,127,0.85608275,0.249271989,0.852729023,0.255080814
,4,,15175,1,1,307.6666667,894.6666667,0,0,85,130,135,0.892062062,0.215875875,0.889546767,0.220906465
,5,infeas,11200,0.898128228,0.911196258,267.6666667,776.6666667,32.33333333,77.33333333,48,100,109,0.893275296,0.186973674,0.893876666,0.191555449
,6,,13845,1,0.999267399,311,904.6666667,0,0.666666667,73,120,126,0.911062746,0.17281691,0.911441788,0.176652181
*,7,,11960,0.985017617,0.992978566,283,899.6666667,4.333333333,6.333333333,37,95,132,0.921627728,0.160216735,0.923089899,0.164178999
,8,infeas,12000,0.810378909,0.979809104,250.3333333,886.6666667,59.66666667,18.33333333,35,93,135,0.907721626,0.153458079,0.9301798,0.153317316
,9,infeas,11330,0.825597546,0.876800752,246.6666667,766.6666667,51.66666667,108,42,128,104,0.898596728,0.146133785,0.924248794,0.14451476
,10,infeas,12740,0.897435897,0.834323307,275.6666667,738.3333333,32.33333333,149.3333333,84,92,111,0.898480645,0.137776743,0.915256246,0.139185752
,11,,12845,0.970833333,1,279.6666667,904,8.333333333,0,41,128,130,0.905058162,0.132514485,0.922960223,0.13449264
,12,,13435,1,0.986661775,308,860.6666667,0,11.66666667,72,91,132,0.912969982,0.129286039,0.928268686,0.12954551
,13,infeas,12710,0.926259845,0.939251154,284.3333333,833.3333333,22.33333333,52.66666667,70,128,106,0.913992279,0.123836826,0.929113491,0.12406778
,14,infeas,11710,0.746749605,0.704897263,210.3333333,630.6666667,71.33333333,267.6666667,65,109,101,0.902046374,0.127097467,0.913098046,0.133415419
,15,infeas,11615,0.847137682,0.951750488,257.3333333,869,48,44.33333333,37,110,120,0.898385794,0.123292024,0.915674876,0.128949097
,16,infeas,11345,0.497803877,0.462777146,152.3333333,414,154,471.3333333,65,92,102,0.873349424,0.155616983,0.887368768,0.168342261
,17,,12590,0.996726825,0.999233545,305,862.3333333,1,0.666666667,54,128,116,0.880606919,0.153618084,0.893949049,0.165239293
,18,infeas,12635,0.880789375,0.886636461,269.6666667,776.6666667,37.33333333,100.3333333,71,128,104,0.880617055,0.149031439,0.893542794,0.160314926
,19,infeas,12785,0.963630813,0.830642337,303.6666667,750,11.33333333,153.3333333,85,92,111,0.8849862,0.146079292,0.890232244,0.156464962
*,20,,11695,0.980516898,0.989138577,302,878,6,9.666666667,41,94,125,0.889762735,0.143778828,0.89517756,0.153889307
*,21,,11605,0.977603964,0.997056659,282,891,6.333333333,2.666666667,43,94,122,0.893945651,0.141443156,0.900028946,0.151631387
*,22,,11590,0.988511068,0.990359653,300,865,3.666666667,8.333333333,44,94,121,0.898244079,0.139499012,0.904134887,0.149225029
,23,,11635,0.994461686,0.992276904,294.6666667,876.3333333,1.666666667,7,45,94,121,0.902427453,0.13776046,0.907967149,0.14694797
,24,infeas,12075,0.907011273,1,290,869.3333333,29.66666667,0,35,96,135,0.902618445,0.134735637,0.911801851,0.144940566
,25,,12050,0.958944266,0.998496806,287.6666667,891,12.33333333,1.333333333,35,95,135,0.904871478,0.132378971,0.915269649,0.142944341
,26,infeas,11495,0.834764086,0.767041806,241.6666667,679.6666667,47.66666667,210.6666667,63,92,106,0.90217504,0.130431072,0.909568578,0.143041318
,27,infeas,10160,0.642704727,0.667670455,196,582,110,287,37,95,102,0.892565029,0.137300617,0.900609388,0.147787264
,28,,13145,1,0.993181818,300,873.6666667,0,6,65,92,132,0.896401992,0.136255206,0.903915547,0.146076027
,29,infeas,11990,0.936847823,1,282,862.3333333,19.33333333,0,35,95,134,0.897796676,0.134010587,0.907228804,0.144549228
,30,,11965,0.986530178,0.999631676,294.3333333,903,4,0.333333333,37,100,130,0.900754459,0.132672611,0.910308899,0.143033527
*,31,,11535,0.984024901,0.99543379,300,861.6666667,5,4,44,99,118,0.903440602,0.131297235,0.913054864,0.141458074
,32,,11550,0.987873822,0.997014851,298.6666667,879.6666667,3.666666667,2.666666667,44,102,117,0.90607914,0.130021724,0.915678613,0.139947063
,33,,11535,0.971972279,0.998170509,300,904.6666667,8.666666667,1.666666667,39,96,123,0.908075902,0.128487042,0.918178368,0.138489541
,34,infeas,11155,0.660386945,0.636591868,204,539.6666667,101.3333333,321.3333333,57,94,104,0.900790933,0.133465562,0.909896412,0.144672898
,35,infeas,11395,0.495972222,0.48498572,145,407.3333333,149.6666667,443.6666667,65,94,102,0.889224684,0.148227449,0.897756106,0.15960325
,36,infeas,11105,0.867670178,0.830502583,252.3333333,730,38,153.3333333,55,98,103,0.888625948,0.146138731,0.895887953,0.157705522
,37,infeas,11675,0.922052284,0.980212447,276,892.3333333,23.33333333,18,41,110,118,0.889529362,0.144199478,0.898166993,0.156116459
,38,infeas,11490,0.934185974,0.958375635,273.3333333,871,19,41,39,111,116,0.890704536,0.142421847,0.899751431,0.154301761
,39,infeas,11500,0.496034528,0.496157513,152.3333333,441.3333333,155,442,54,118,102,0.880584792,0.154091379,0.889402869,0.165405854
,40,infeas,11600,0.933174061,0.950901208,269,813.6666667,20,44,49,107,112,0.881899524,0.152330133,0.890940328,0.163560791
,41,infeas,11380,0.692624993,0.722309226,204.6666667,628.3333333,93.66666667,243.6666667,42,130,104,0.877283072,0.153291012,0.886827374,0.16363649
,42,infeas,13315,0.912457912,0.913433908,272.3333333,832,26,80.33333333,84,115,111,0.878120568,0.15150732,0.887460863,0.161680737
*,43,,11525,0.992266372,0.99390681,307.3333333,889.3333333,2.333333333,5.666666667,43,98,119,0.880775122,0.15070149,0.88993635,0.160567026
